Oxide Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,2Zn + O2 = 2ZnO,0,-166,,2Mn + O2 = 2MnO,0,-184,,4TiO + O2 = 2Ti2O3,0,-231,,2H2 + O2 = 2H2O,0,-119.3,,1.09Pr + O2 = PrO1.83,0,-246.9,,,,,,,,
,m,693,-134,,m,1517,-130,,,1940,-152,,,3400,-26.9,,m,1208,-194.6,,,,,,,,
,b,1180,-109,,M,2054,-108,,m,2033,-147.3642857142857,,,,,,,,,,,,,,,,
,M,2240,-9,,b,2309,-99,,,2128,-145.2559192413583,,,,,,,,,,,,,,,,
,,2340,-0.001,,,2500,-89.5,,M,2150,-144.7676659528908,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Ce,"T, K","DGo , Kcal/mol",,Nb,"T, K","DGo , Kcal/mol",,Ti,"T, K","DGo , Kcal/mol",,V,"T, K","DGo , Kcal/mol",,Pu,"T, K","DGo , Kcal/mol",,,,,,,,
,2Ce2O3 + O2 = 4CeO2 ,0,-180.9,,2Nb + O2 = 2NbO,0,-192,,2Ti + O2 = 2TiO,0,-247.5,,4VO + O2 = 2V2O3,0,-192.2,,4/3Pu + O2 = 2/3Pu2O3,0,-258,,,,,,,,
,,1077,-109.4,,M,2218,-108,,m,1940,-161,,,2190,-96.1,,m,913,-222,,,,,,,,
,,,,,m,3043,-77,,M,2033,-159,,m,2240,-100.625,,M,1880,-185,,,,,,,,
,,,,,,,,,,2500,-142.5,,,,,,,2500,-175,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Ta,"T, K","DGo , Kcal/mol",,Nb,"T, K","DGo , Kcal/mol",,Er,"T, K","DGo , Kcal/mol",,V,"T, K","DGo , Kcal/mol",,Al,"T, K","DGo , Kcal/mol",,,,,,,,
,4/5Ta + O2 = 2/5Ta2O5,0,-196,,2Nb2O3 + O2 = 4NbO2,0,-209,,4/3Er +O2 = 2/3Er2O3,0,-260.1,,2V + O2 = 2VO,0,-198.2,,4/3Al +O2 = 2/3Al2O3,0,-266.6,,,,,,,,
,M,2150,-106,,m,1764,-163.2546828787381,,m,1770,-208.7,,m,2190,-116.5,,m,932,-220,,,,,,,,
,m,3270,-67,,,,,,,,,,M,2350,-103.5,,M,2345,-147.6,,,,,,,,
,,,,,,,,,,,,,,2500,-95,,b,2736,-128.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Zr,"T, K","DGo , Kcal/mol",,U,"T, K","DGo , Kcal/mol",,Dy,"T, K","DGo , Kcal/mol",,Tb,"T, K","DGo , Kcal/mol",,La,"T, K","DGo , Kcal/mol",,,,,,,,
,Zr + O2 = ZrO2,0,-262,,U + O2 = UO2,0,-258,,4/3Dy +O2 = 2/3Dy2O3,0,-269.3,,1.17Tb + O2 = 1.17TbO1.709,0,-251.9,,4/3La + O2 = 2/3La2O3,0,-284.8,,,,,,,,
,m,2125,-166,,m,1405,-202,,m,1680,-220.5,,m,1638,-178.7,,m,1193,-205.7,,,,,,,,
,M,2980,-130,,M,3151,-130,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Ce,"T, K","DGo , Kcal/mol",,Ba,"T, K","DGo , Kcal/mol",,Li,"T, K","DGo , Kcal/mol",,Sr,"T, K","DGo , Kcal/mol",,Eu,"T, K","DGo , Kcal/mol",,,,,,,,
,4/3Ce +O2 = 2/3Ce2O3,0,-285.7,,2Ba + O2 = BaO,0,-265,,4Li + O2 = 2Li2O,0,-286,,2Sr + O2 = 2SrO,0,-281,,2Eu + O2 = 2EuO,0,-290.4,,,,,,,,
,m,1077,-237,,m,983,-222,,m,453,-258,,m,1043,-233,,m,1090,-245,,,,,,,,
,,,,,b,1895,-183,,b,1597,-173,,b,1640,-205,,,,,,,,,,,,
,,,,,M,2191,-159,,M,2000,-128,,M,2690,-116,,,,,,,,,,,,
,,,,,,2500,-131,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Pr,"T, K","DGo , Kcal/mol",,Be,"T, K","DGo , Kcal/mol",,Th,"T, K","DGo , Kcal/mol",,Mg,"T, K","DGo , Kcal/mol",,Lu,"T, K","DGo , Kcal/mol",,,,,,,,
,4/3Pr + O2 = 2/3Pr2O3,0,-289.4,,2Be + O2 = BeO,0,-286,,Th + O2 = ThO2,0,-293,,2Mg + O2 = 2MgO,0,-286,,4/3Lu + O2 = 2/3Lu2O3,0,-298.2,,,,,,,,
,m,1208,-236.1,,m,1556,-212,,m,1968,-204,,m,923,-240,,m,1925,-210.8,,,,,,,,
,,,,,M,2843,-160,,M,3493,-136,,b,1376,-214,,,,,,,,,,,,
,,,,,,,,,,,,,M,3125,-52,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Sc,"T, K","DGo , Kcal/mol",,Gd,"T, K","DGo , Kcal/mol",,Ca,"T, K","DGo , Kcal/mol",,Tb,"T, K","DGo , Kcal/mol",,,,,,,,,,,,
,4/3Sc + O2 = 2/3Sc2O3,72,-299.99,,4/3Gd +O2 = 2/3Gd2O3,0,-288.6,,2Ca + O2 = CaO,65,-300,,4/3Tb + O2 = 2/3Tb2O3,0,-295.6,,,,,,,,,,,,
,m,1811,-220,,m,1558,-219.7,,m,1123,-249,,m,1638,-224.1,,,,,,,,,,,,
,,,,,,,,,b,1756,-217,,,,,,,,,,,,,,,,
,,,,,,,,,M,2887,-117,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,,,,Y,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,
,,,,,4/3Y + O2 = 2/3Y2O3,56.91,-299.999,,,,,,,,,,,,,,,,,,,,
,,,,,m,1773,-221.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Ag,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,4Ag + O2 = 2Ag2O,0,-14,,,,,,,,,,,,,,,,,,,,,,,,
,,480,-0.001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Al,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,4/3Al +O2 = 2/3Al2O3,0,-266.6,,,,,,,,,,,,,,,,,,,,,,,,
,m,932,-220,,,,,,,,,,,,,,,,,,,,,,,,
,M,2345,-147.6,,,,,,,,,,,,,,,,,,,,,,,,
,b,2736,-128.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Al,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,4Al + O2 = 2Al2O(g),298,-102.39521261347348,,,,,,,,,,,,,,,,,,,,,,,,
,,933,-129.545016722408,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,-155.08862876254182,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,As,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,As +O2 = 1/2As2O4,0,-104,,,,,,,,,,,,,,,,,,,,,,,,
,M,585,-79,,,,,,,,,,,,,,,,,,,,,,,,
,B,730,-77,,,,,,,,,,,,,,,,,,,,,,,,
,b,886,-71,,,,,,,,,,,,,,,,,,,,,,,,
,,2500,-16,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,B,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,4/3B +O2 = 2/3B2O3,0,-200.5,,,,,,,,,,,,,,,,,,,,,,,,
,M,723,-171.5,,,,,,,,,,,,,,,,,,,,,,,,
,m,2313,-112,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Ba,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,2Ba + O2 = BaO,0,-265,,,,,,,,,,,,,,,,,,,,,,,,
,m,983,-222,,,,,,,,,,,,,,,,,,,,,,,,
,b,1895,-183,,,,,,,,,,,,,,,,,,,,,,,,
,M,2191,-159,,,,,,,,,,,,,,,,,,,,,,,,
,,2500,-131,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Be,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,2Be + O2 = BeO,0,-286,,,,,,,,,,,,,,,,,,,,,,,,
,m,1556,-212,,,,,,,,,,,,,,,,,,,,,,,,
,M,2843,-160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Bi,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,4Bi3O4+O2 = 6Bi2O3,0,0.7999999999999545,,,,,,,,,,,,,,,,,,,,,,,,
,M,1098,-8.282285714285706,,,,,,,,,,,,,,,,,,,,,,,,
,,1400,-14.247214854111405,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Bi,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,3/2Bi + O2 = 1/2Bi3O4,0,-103.6,,,,,,,,,,,,,,,,,,,,,,,,
,,1400,-33.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,C,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,2C + O2 = 2CO,0,-53.4,,,,,,,,,,,,,,,,,,,,,,,,
,,3400,-195.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,C,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,C + O2 = CO2,0,-94.2,,,,,,,,,,,,,,,,,,,,,,,,
,,3400,-95.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,C,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,2CO + O2 = CO2,0,-135,,,,,,,,,,,,,,,,,,,,,,,,
,,3400,4.700000000000017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Ca,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,2Ca + O2 = CaO,65,-299.999,,,,,,,,,,,,,,,,,,,,,,,,
,m,1123,-249,,,,,,,,,,,,,,,,,,,,,,,,
,b,1756,-217,,,,,,,,,,,,,,,,,,,,,,,,
,M,2887,-117,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Cd,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,2Cd + O2 = CdO,0,-124,,,,,,,,,,,,,,,,,,,,,,,,
,m,594,-96,,,,,,,,,,,,,,,,,,,,,,,,
,b,1040,-74,,,,,,,,,,,,,,,,,,,,,,,,
,,1800,-0.001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Ce,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,4/3Ce +O2 = 2/3Ce2O3,0,-285.7,,,,,,,,,,,,,,,,,,,,,,,,
,m,1077,-237,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Ce,"T, K","DGo , Kcal/mol",,,,,,,,,,,,,,,,,,,,,,,,
,2Ce2O3 + O2 = 4CeO2 ,0,-180.9,,,,,,,,,,,,,,,,,,,,,,,,
,,1077,-109.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
